"Date Time, GMT-09:00",5 cm ST (°C),10 cm ST (°C),20 cm ST (°C),30 cm ST (°C),50 cm ST (°C),100 cm ST (°C),125 cm ST (°C)
2022-11-17,0.9099791666666667,-0.16077083333333334,-0.08370833333333333,11.413270833333334,0.1879375,1.0574999999999999,1.9379791666666666
2022-11-18,2.3526666666666665,0.10875,0.07141666666666667,11.419000000000002,0.19000000000000003,1.0535625,2.1319375
2022-11-19,0.8482708333333333,0.02125,0.107,11.4195,0.2145,1.07625,2.18875
2022-11-20,-0.25729166666666664,-0.25629166666666664,0.107,11.421,0.218,1.099,2.2005624999999998
2022-11-21,-0.15775,-0.45522916666666663,0.10641666666666666,11.407541666666667,0.218,1.122625,2.182
2022-11-22,-2.7747916666666668,-1.8299583333333331,-0.09085416666666667,11.432,0.21625000000000003,1.162,2.182
2022-11-23,-2.112625,-1.5155833333333335,-0.29991666666666666,11.444,0.19058333333333333,1.1998333333333333,2.208875
2022-11-24,-1.6729375,-1.06225,-0.23575000000000002,11.421,0.19000000000000003,1.2434375,2.372916666666667
2022-11-25,-2.083645833333333,-1.159,-0.22933333333333336,11.443104166666666,0.18887500000000002,1.2887083333333333,2.584166666666667
2022-11-26,-5.292,-2.5378333333333334,-0.536625,11.520687500000001,0.17425000000000002,1.3546875,2.7840000000000003
2022-11-27,-3.6860208333333335,-2.1866666666666665,-0.6825625,11.541041666666665,0.14491666666666667,1.4002499999999998,3.136229166666667
2022-11-28,-5.6191875,-3.250458333333333,-1.0304375,11.581791666666668,0.10233333333333333,1.4787291666666667,2.2906041666666668
2022-11-29,-6.965416666666666,-4.017708333333333,-1.4426458333333334,11.625,0.021958333333333333,1.5891250000000001,1.8882400000000001
2022-11-30,-1.7133958333333332,-1.4861250000000001,-0.7748541666666666,11.5878125,0.03754166666666667,1.6611041666666668,
2022-12-01,-0.7712499999999999,-0.3629166666666667,-0.09608333333333334,11.5498125,0.13091666666666668,1.6345208333333332,
2022-12-02,-0.24341666666666664,-0.3156666666666667,-0.06874999999999999,11.501,0.13616666666666669,1.6313333333333333,
2022-12-03,1.0543125,-0.060625000000000005,-0.004020833333333334,11.467520833333333,0.14258333333333334,1.643,
2022-12-04,2.4521875,0.08891666666666666,0.0661875,11.478541666666667,0.1595,1.6660625,
